Date,Coin,Price,Open,High,Low,Vol.,Change %
9/05/2023,ETH,1846.56,1847.48,1858.57,1832.05,318.79K,-0.05%
8/05/2023,ETH,1847.48,1871.03,1883.54,1813.63,667.82K,-1.26%
7/05/2023,ETH,1870.99,1896.48,1931.39,1870.94,441.65K,-1.34%
6/05/2023,ETH,1896.48,1993.33,2013.10,1868.09,658.63K,-4.86%
5/05/2023,ETH,1993.33,1877.06,1996.64,1875.66,589.05K,6.19%
4/05/2023,ETH,1877.06,1904.76,1915.15,1868.18,372.69K,-1.45%
3/05/2023,ETH,1904.74,1869.74,1915.00,1844.72,489.66K,1.87%
2/05/2023,ETH,1869.74,1830.75,1878.70,1823.25,391.27K,2.13%
1/05/2023,ETH,1830.75,1869.05,1885.70,1807.30,475.92K,-2.04%
30/04/2023,ETH,1868.88,1907.80,1937.86,1868.88,377.71K,-2.04%
29/04/2023,ETH,1907.80,1890.93,1915.90,1886.27,193.47K,0.88%
28/04/2023,ETH,1891.14,1908.79,1922.85,1875.03,408.45K,-0.93%
27/04/2023,ETH,1908.81,1866.05,1937.55,1862.37,771.48K,2.29%
26/04/2023,ETH,1866.05,1865.95,1963.46,1793.76,958.23K,0.01%
25/04/2023,ETH,1865.95,1841.88,1877.54,1804.20,491.98K,1.31%
24/04/2023,ETH,1841.88,1862.04,1889.09,1809.80,480.28K,-1.08%
23/04/2023,ETH,1862.05,1873.96,1881.92,1839.05,368.77K,-0.63%
22/04/2023,ETH,1873.95,1848.88,1886.22,1845.73,351.72K,1.30%
21/04/2023,ETH,1849.81,1942.72,1955.35,1831.47,769.94K,-4.78%
20/04/2023,ETH,1942.72,1935.97,1977.95,1917.71,665.65K,0.35%
19/04/2023,ETH,1935.97,2103.36,2104.31,1925.00,855.36K,-7.96%
18/04/2023,ETH,2103.34,2074.74,2121.27,2056.86,437.10K,1.38%
17/04/2023,ETH,2074.74,2118.61,2119.18,2062.17,448.14K,-2.10%
16/04/2023,ETH,2119.29,2090.59,2137.56,2073.26,342.43K,1.37%
15/04/2023,ETH,2090.59,2099.98,2110.30,2074.33,340.60K,-0.45%
14/04/2023,ETH,2099.98,2012.12,2127.56,2009.53,957.03K,4.37%
13/04/2023,ETH,2012.11,1916.59,2018.73,1899.96,721.56K,4.98%
12/04/2023,ETH,1916.58,1889.86,1930.46,1857.35,669.43K,1.41%
11/04/2023,ETH,1889.86,1910.35,1935.75,1884.64,428.26K,-1.07%
10/04/2023,ETH,1910.36,1858.90,1916.53,1847.39,457.41K,2.77%
9/04/2023,ETH,1858.90,1848.93,1871.87,1825.60,306.40K,0.54%
8/04/2023,ETH,1848.93,1863.45,1879.11,1847.72,207.67K,-0.78%
7/04/2023,ETH,1863.46,1872.35,1882.56,1844.43,298.77K,-0.47%
6/04/2023,ETH,1872.35,1908.95,1908.95,1855.89,420.80K,-1.92%
5/04/2023,ETH,1908.96,1870.52,1936.10,1864.64,583.84K,2.05%
4/04/2023,ETH,1870.52,1810.77,1887.33,1802.51,658.37K,3.30%
3/04/2023,ETH,1810.77,1795.01,1838.71,1764.26,657.58K,0.88%
2/04/2023,ETH,1795.01,1820.78,1824.32,1775.81,334.84K,-1.42%
1/04/2023,ETH,1820.78,1821.62,1840.27,1811.67,283.39K,-0.05%
31/03/2023,ETH,1821.62,1793.59,1845.54,1782.26,579.01K,1.56%
30/03/2023,ETH,1793.59,1793.16,1828.91,1766.90,607.74K,0.02%
29/03/2023,ETH,1793.27,1772.64,1825.01,1772.64,564.93K,1.16%
28/03/2023,ETH,1772.63,1714.65,1792.38,1702.95,561.33K,3.38%
27/03/2023,ETH,1714.65,1773.91,1780.06,1691.38,607.00K,-3.35%
26/03/2023,ETH,1774.06,1742.32,1796.77,1739.39,371.97K,1.82%
25/03/2023,ETH,1742.34,1749.28,1761.66,1714.43,368.84K,-0.40%
24/03/2023,ETH,1749.26,1813.62,1818.53,1728.69,602.30K,-3.57%
23/03/2023,ETH,1814.08,1734.32,1852.48,1729.38,767.73K,4.59%
22/03/2023,ETH,1734.48,1801.58,1818.47,1711.05,933.24K,-3.83%
21/03/2023,ETH,1803.54,1732.32,1833.12,1719.55,779.81K,4.11%
20/03/2023,ETH,1732.31,1780.12,1802.76,1723.90,716.26K,-2.65%
19/03/2023,ETH,1779.47,1758.70,1838.84,1758.66,574.73K,1.18%
18/03/2023,ETH,1758.70,1789.38,1833.82,1751.14,763.06K,-1.71%
17/03/2023,ETH,1789.38,1673.76,1796.74,1663.67,975.13K,6.90%
16/03/2023,ETH,1673.85,1649.66,1689.09,1634.21,660.14K,1.47%
15/03/2023,ETH,1649.65,1700.14,1716.56,1614.93,1.02M,-2.97%
